,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
1360,3.51913E+16,0.2266,GALAXY,0.2266,GALAXY,4,3,--|--|--,--| LRG|--,none,4159.876301,0,2.43E-05,122,10.641209,33.005344,61.374165,5.797882,17.983023,33.439827,0.94819343,0.9648003,0.9801556
1361,3.51913E+16,0.5237,GALAXY,0.5237,GALAXY,4,3,--|--|--,--|LRG|--,none,190.9282072,0,6.76E-05,126,2.2697525,6.7981353,17.3936,0.7815679,2.3408737,5.9893217,0.9361643,0.9565382,0.9754517
1362,3.51913E+16,0.2619,GALAXY,0.2619,GALAXY,1,3,S|S|--,--| No signal in spectrum|OII/OIII/Hgamma line up but extremely noisy,flags ranging from 0 to 2. set to 1.,1.733653298,4,7.60E-05,124,3.5562131,11.04162,22.362923,1.3001236,4.0367293,8.175709,0.94864964,0.965113,0.98033327
1363,3.51913E+16,0.4305,GALAXY,0.4305,GALAXY,4,3,--|--|--,--| LRG|--,none,1004.360319,0,8.13E-05,104,2.2375226,12.451192,30.951742,0.93374515,5.196032,12.916534,0.9433214,0.96145815,0.9782549
1364,3.51913E+16,0.43,GALAXY,0.43,GALAXY,4,3,--|--|--,--|--|--,disagreement due to 00 bug. redrock z is correct.,1232.482847,0,2.02E-05,119,1.5924244,6.1068764,13.62486,0.7652799,2.9348142,6.5477715,0.9432062,0.96137905,0.9782099
1365,3.51913E+16,0.1526,GALAXY,0.1526,GALAXY,4,3,--|--|--,--|--|--,none,5296.531497,0,3.28E-06,137,4.705732,7.5084033,9.752967,2.196037,3.5039678,4.5514445,0.9364972,0.9567673,0.9755824
1366,3.51913E+16,0.0983,GALAXY,0.0983,GALAXY,4,3,--|--|--,--|--|--,none,1028.608366,0,7.08E-06,254,8.940749,15.845689,23.955528,2.234399,3.9600253,5.98677,0.9426857,0.9610216,0.9780065
1367,3.51913E+16,0.1587,GALAXY,0.1587,GALAXY,4,3,--|--|--,--|--|--,none,3268.9459,0,4.51E-06,268,5.714792,10.166379,15.971938,2.7665076,4.9215026,7.7319503,0.9457495,0.96312445,0.9792029
1368,3.51913E+16,0.1261,GALAXY,0.1261,GALAXY,4,3,--|--|--,--|--|--,none,4997.817991,0,1.89E-05,4853,39.782784,104.605,199.47432,8.85402,23.280796,44.394825,0.94545627,0.96292335,0.97908854
1369,3.51913E+16,0.46,GALAXY,0.46,GALAXY,4,3,--|--|--,--|--|--,none,1261.118461,0,2.29E-05,4850,3.436528,12.473149,30.433872,1.0206461,3.7045155,9.0388365,0.94622403,0.96344995,0.97938806
1370,3.51913E+16,0.2309,GALAXY,0.2309,GALAXY,4,3,--|--|--,--|--|--,none,5728.891458,0,4.89E-06,4870,4.754161,11.611737,22.373425,1.7580287,4.293874,8.27341,0.948262,0.96484727,0.9801823
1371,3.51913E+16,0.45,GALAXY,0.45,GALAXY,4,3,--|--|--,--|--|--,disagreement due to 00 bug. redrock z is correct.,2744.498684,0,6.76E-06,4874,3.299074,6.8573213,10.120582,0.961335,1.9981918,2.949091,0.9495205,0.9657097,0.98067224
1372,3.51913E+16,0.0971,GALAXY,0.0971,GALAXY,4,3,--|--|--,--|--|--,none,2709.259879,0,5.21E-06,4860,22.069305,42.89086,69.676605,4.0482335,7.8675895,12.7809725,0.948784,0.965205,0.98038554
