,TargetID,Redrock z,Redrock spectype,best redshift,best spectype,vi_combined_flag,N_VI,DELTACHI2,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z,TARGET_RA,TARGET_DEC
1264,35191347770033447,0.3494,GALAXY,0.3494,GALAXY,4.0,3,343.93099258188164,3979,2.1232615000000004,9.309942999999999,21.542578,0.8464662000000001,3.7115316,8.588232000000001,0.9515643,0.9671094000000001,0.98146707,180.8887385691461,58.988419956519536
1265,35191347770033801,0.3516,GALAXY,0.3516,GALAXY,4.0,3,840.0788486078383,3961,1.8003093000000001,6.4779043,13.479789000000002,0.99558085,3.5823162,7.4543962,0.96037614,0.9731331,0.98488176,180.72789636995392,59.01963088523803
1266,35191347770033911,0.3471,GALAXY,0.3471,GALAXY,4.0,3,722.3451836109161,3728,2.3925254000000002,6.499445,10.308617,0.58792317,1.5971301000000002,2.5331702000000003,0.9529360999999998,0.96804833,0.98199993,180.86326401204894,59.02912938364265
1267,35191347770033930,0.3849,GALAXY,0.3883,GALAXY,2.6666666666666665,3,486.2702267840505,3996,1.3943851,7.925117500000001,20.141462,0.67659664,3.8455,9.77323,0.95660096,0.9705546,0.9834212,180.79336458335956,59.03142878009059
1268,35191347770033957,0.3635,GALAXY,0.3635,GALAXY,3.6666666666666665,3,150.99173188209534,3545,2.2085226000000002,6.791097,12.496751,0.83939,2.5810823,4.7496220000000005,0.96124256,0.97372437,0.98521644,180.6528613439452,59.0365338037401
1269,35191347770034098,0.3488,GALAXY,0.3488,GALAXY,4.0,3,1225.9487340524793,3745,6.072845,26.251759000000003,60.903503,1.3118598,5.670922,13.156414000000002,0.9513870999999999,0.9669880999999999,0.98139817,180.92478123100398,59.042161714614714
1270,35191347770034162,0.3641,GALAXY,0.3641,GALAXY,4.0,3,1365.3096776008604,3543,4.533903,17.385168,34.445029999999996,2.0192585,7.742809299999999,15.340735999999998,0.9597027,0.97267336,0.98462147,180.71491519633616,59.047403199658326
1271,35191347770034242,0.3104,GALAXY,0.3104,GALAXY,4.0,3,1120.6706503033638,3528,5.2075853,14.54375,28.112259,1.9532341,5.454994,10.5442,0.9606269000000001,0.9733042,0.9849787,180.5798628695132,59.05224021788071
1272,35191347770034544,0.2097,GALAXY,0.2097,GALAXY,4.0,3,3391.803154945373,3724,3.6357602999999994,6.9322740000000005,11.033113499999999,1.9301876,3.6802726000000003,5.8573666,0.95296425,0.9680675999999999,0.98201084,180.87505707574607,59.07023992770755
1273,35191347770034725,0.0448,GALAXY,0.0448,GALAXY,4.0,3,832.8650216683744,3719,31.0578,42.280190000000005,41.29835,0.6117291,0.8327706,0.8134318,0.9527094000000002,0.9678931999999999,0.9819119000000001,180.94431387326145,59.08297795961417
1274,35191347770034943,0.2054,GALAXY,0.2054,GALAXY,4.0,3,1156.5974908471107,3544,4.0153265,7.2305655,9.83881,1.3231163000000001,2.3825905,3.24205,0.96055853,0.9732576,0.9849523000000001,180.57341852201387,59.098116661339674
1275,35191347770035080,0.1117,GALAXY,0.1117,GALAXY,4.0,3,3346.401613280177,3517,46.463623,121.95444499999999,232.05579,12.810931,33.625233,63.982330000000005,0.9582970999999999,0.9717135,0.9840779000000001,180.73096434190148,59.10817301655721
1276,35191347770035140,0.3443,GALAXY,0.3443,GALAXY,4.0,3,352.49279659986496,3742,2.4006126,11.670263,26.15016,0.8772738999999999,4.264752,9.55625,0.9563133,0.9703579999999999,0.9833098,180.84910984468743,59.11210739216486
1277,35191347774226890,0.0358,GALAXY,0.0358,GALAXY,4.0,3,208.44898235891014,3523,5.6179986,8.430094,10.566131,1.1805178,1.7714272,2.2202756,0.94908464,0.96541107,0.9805026,181.1584222183504,58.90723147945828
1278,35191347774227041,0.3025,GALAXY,0.3025,GALAXY,4.0,3,421.40591423213476,3504,5.744912599999999,16.546669,33.15508,1.5357999,4.423457,8.86342,0.94910216,0.96542305,0.9805094000000001,181.08881091233997,58.91987527489433
